Sample,A. acidiphilus,S. ruber,R. radiobacter,Total 16S rDNA copies
65,1.05E+07,7.75E+08,8.35E+09,5.50E+10
66,2.59E+07,8.60E+08,2.53E+09,3.47E+10
67,9.85E+07,7.35E+08,6.75E+08,1.82E+10
68,3.80E+08,8.10E+08,3.34E+08,1.45E+10
69,5.50E+08,4.85E+08,9.05E+07,6.40E+09
70,3.17E+09,8.40E+08,2.61E+07,1.59E+10
71,2.88E+07,1.02E+09,2.63E+09,6.05E+10
72,8.45E+07,6.10E+08,5.45E+08,2.82E+10
73,2.44E+08,6.65E+08,1.59E+08,1.80E+10
74,1.12E+09,8.70E+08,1.55E+08,1.61E+10
75,1.85E+09,6.30E+08,2.41E+07,1.05E+10
76,4.40E+06,3.79E+08,4.27E+09,1.52E+10
77,2.93E+07,2.97E+08,3.74E+08,1.55E+10
78,4.26E+08,1.14E+09,2.01E+08,2.83E+10
79,1.08E+09,1.10E+09,8.85E+07,2.12E+10
80,3.12E+09,9.50E+08,2.77E+07,1.92E+10
81,8.90E+06,7.40E+08,7.30E+09,2.29E+10
82,2.64E+07,8.50E+08,4.37E+09,1.36E+10
83,2.55E+08,9.30E+08,1.55E+08,3.48E+10
84,1.32E+09,1.01E+09,8.85E+07,3.57E+10
85,3.14E+09,9.60E+08,2.77E+07,2.32E+10
86,8.10E+06,6.65E+08,7.25E+09,2.66E+10
87,2.93E+07,8.45E+08,3.07E+09,1.64E+10
88,1.03E+08,8.15E+08,7.15E+08,8.90E+09
89,1.03E+09,1.04E+09,8.25E+07,4.32E+10
90,3.08E+09,9.05E+08,3.52E+07,3.13E+10
91,9.85E+06,7.65E+08,9.65E+09,3.47E+10
92,2.69E+07,8.40E+08,2.99E+09,2.24E+10
93,6.75E+07,6.60E+08,7.30E+08,7.60E+09
94,3.85E+08,9.10E+08,2.62E+08,9.35E+09
95,3.44E+09,1.09E+09,2.98E+07,5.80E+10
96,5.60E+06,5.50E+08,6.00E+09,2.88E+10
97,2.62E+07,7.90E+08,3.51E+09,2.17E+10
98,1.05E+08,9.70E+08,8.85E+08,1.59E+10
99,3.82E+08,8.30E+08,3.91E+08,1.19E+10
100,1.22E+09,1.00E+09,1.14E+08,1.21E+10
101,neg,neg,neg,3.76E+10
102,3.05E+07,6.90E+08,3.10E+09,9.50E+09
